Date,Open,High,Low,Close,Adj Close,Volume
21-12-2018,52.415001,53.200001,51.830002,52.02,20.805405,59696700
24-12-2018,51.799999,52.07,51.200001,51.369999,20.545437,43294400
26-12-2018,50.900002,51.73,50.439999,51.345001,20.535439,49537410
27-12-2018,51.799999,51.98,50.494999,50.650002,20.257477,50169310
28-12-2018,50.82,51.645,50.805,51.285,20.511442,63074080
31-12-2018,52,52.5,51.619999,52.105,20.839403,79658120
01-01-2019,52.400002,52.450001,51.355,51.575001,20.627428,41281730
02-01-2019,50.599998,50.68,49.200001,49.365002,19.74354,117473500
03-01-2019,49.299999,49.314999,48.025002,48.125,19.247599,135329440
04-01-2019,48.099998,49.285,47.955002,48.764999,19.503567,104800720
07-01-2019,49.540001,50.099998,48.389999,48.549999,19.41758,84067870
08-01-2019,48.564999,49.334999,48.380001,49.134998,19.651546,62697060
09-01-2019,48.895,49.73,47.525002,47.919998,19.165607,126966600
10-01-2019,48,48.415001,47.75,48.040001,19.213606,70810000
11-01-2019,48.395,48.424999,47.200001,47.419998,18.965635,75408240
14-01-2019,47.419998,47.439999,46.68,47.084999,18.831652,58899170
15-01-2019,47.299999,47.650002,46.900002,47.505001,18.99963,76031810
16-01-2019,47.610001,47.990002,47.27,47.455002,18.979633,52802930
17-01-2019,47.630001,47.825001,47.049999,47.314999,18.923639,42819350
18-01-2019,47.355,47.77,46.799999,47.064999,18.823652,49148490
21-01-2019,47.299999,47.75,47.009998,47.169998,18.865646,46136900
22-01-2019,47.07,47.07,45.5,45.654999,18.259726,89577660
23-01-2019,45.700001,46.785,45.700001,46.459999,18.581682,72593860
24-01-2019,46.450001,46.450001,45.720001,46.075001,18.427704,47908460
25-01-2019,46.220001,46.580002,45.119999,45.290001,18.113745,41579670
28-01-2019,45.290001,45.395,44.330002,44.57,17.825777,43351470
29-01-2019,44.400002,45.215,44.134998,44.380001,17.749788,52257240
30-01-2019,44.669998,47.139999,44.669998,46.744999,18.695667,108579250
31-01-2019,47.205002,47.889999,46.764999,47.669998,19.065624,92437290
01-02-2019,47.700001,48.200001,47,47.470001,18.985634,50159940
04-02-2019,47.490002,47.860001,45.200001,47.605,19.039629,109720290
05-02-2019,47.700001,47.700001,45.945,46.470001,18.585682,72819270
06-02-2019,46.599998,48.669998,46.380001,48.509998,19.401579,109992650
07-02-2019,48.345001,49.139999,47.810001,48.904999,19.559561,78573380
08-02-2019,48.299999,48.775002,46.595001,46.875,18.747663,84145140
11-02-2019,47.5,48.700001,46.029999,48.07,19.225603,232623140
12-02-2019,47.84,49.720001,47.669998,48.740002,19.493572,188361110
14-02-2019,48.200001,48.634998,47.540001,48.255001,19.299593,61850420
15-02-2019,48.299999,48.34,46.264999,46.75,18.697668,74992400
18-02-2019,46.889999,47.700001,46.439999,46.555,18.619678,62535140
19-02-2019,46.540001,48.060001,46.540001,47.095001,18.835651,82245450
20-02-2019,47.25,49.384998,47.25,49.115002,19.643553,154872510
21-02-2019,49.255001,50.290001,49.035,49.884998,19.951511,117827140
22-02-2019,49.700001,50.400002,49.209999,50.23,20.089497,100057230
25-02-2019,50.400002,50.950001,49.825001,50.509998,20.201483,103576040
26-02-2019,49.799999,50.860001,49.169998,50.360001,20.141489,98562990
27-02-2019,50.700001,51.23,49.794998,50.709999,20.281473,94443460
28-02-2019,50.66,51.099998,49.830002,50.044998,20.015505,74854180
01-03-2019,50.349998,50.970001,50.200001,50.759998,20.301468,66725690
05-03-2019,50.84,52.290001,50.52,52.174999,20.867397,91180370
06-03-2019,52.290001,52.535,51.544998,52.084999,20.831402,63112270
07-03-2019,51.985001,52.32,51.355,52.115002,20.843401,61536310
08-03-2019,51.68,51.860001,50.630001,50.785,20.311468,65048470
11-03-2019,51,52.240002,50.950001,52.064999,20.823402,59082750
12-03-2019,52.439999,53.049999,52.099998,52.514999,21.003382,82982750
13-03-2019,52.5,52.5,51.259998,51.375,20.547436,64091530
14-03-2019,51.395,52.18,51.349998,51.764999,20.703419,44966420
15-03-2019,51.799999,52.095001,51.244999,51.544998,20.615429,42339380
18-03-2019,51.950001,52.674999,51.525002,52.52,21.005381,63176050
19-03-2019,52.779999,53.189999,52.064999,52.75,21.097368,63298400
20-03-2019,52.605,52.625,51.105,51.360001,20.541437,87023070
22-03-2019,51.700001,52.400002,51.560001,51.84,20.733416,52334460
25-03-2019,51.279999,51.77,50.705002,51.514999,20.60343,50368870
26-03-2019,51.599998,52.095001,51.415001,51.935001,20.77141,33298250
27-03-2019,52,52.299999,51.305,51.580002,20.629429,52391580
28-03-2019,51.439999,51.645,50.48,50.630001,20.249474,89650930
01-04-2019,53,54.400002,52.810001,53.514999,21.403332,135235540
02-04-2019,53.799999,53.799999,52.605,53.064999,21.223352,50868180
03-04-2019,53.689999,54.759998,53.345001,53.544998,21.415327,114896800
04-04-2019,53.275002,53.740002,52.650002,53.064999,21.223352,52599170
05-04-2019,53.119999,55.099998,53.119999,54.93,21.969261,100377130
08-04-2019,55.32,55.700001,54.580002,54.904999,21.959259,106009010
09-04-2019,55.099998,55.5,54.025002,55.305,22.119244,66189360
10-04-2019,55.165001,55.939999,54.169998,54.439999,21.773285,78891530
11-04-2019,54.099998,54.639999,53.349998,53.57,21.425327,60823980
12-04-2019,53.700001,54.27,53.220001,53.365002,21.343338,62740160
15-04-2019,53.689999,55.5,53.605,55.314999,22.123241,103903170
16-04-2019,55.355,55.689999,54.915001,55.325001,22.127241,63236540
18-04-2019,55.349998,55.450001,53.669998,54.310001,21.721291,66605220
22-04-2019,54,54.575001,53.310001,53.419998,21.365335,36976860
23-04-2019,53.494999,53.849998,52.150002,52.334999,20.931389,51193760
24-04-2019,52.689999,52.785,51.27,52.525002,21.007381,83768350
25-04-2019,52.200001,52.93,50.900002,51.075001,20.427454,83594180
26-04-2019,52.084999,54.775002,51.555,54.525002,21.807283,381810110
30-04-2019,54.305,56.080002,53.57,55.720001,22.285221,142581610
02-05-2019,55.41,56.165001,54.945,55.494999,22.195232,90100300
03-05-2019,55.400002,55.599998,54.66,54.779999,21.909269,58796360
06-05-2019,53.424999,54.349998,52.744999,53.595001,21.435328,99648390
07-05-2019,54.494999,54.494999,52.900002,53.060001,21.221354,65414980
08-05-2019,53.125,53.240002,52.16,52.264999,20.903391,64784320
09-05-2019,52.255001,52.639999,51.634998,51.915001,20.763411,51055970
10-05-2019,52.200001,52.575001,47.904999,48.68,19.469574,372409210
13-05-2019,48.009998,48.799999,46.34,47.23,18.889645,159569200
14-05-2019,46.695,47.759998,45.630001,46.955002,18.779659,211286060
15-05-2019,47.305,48.095001,46.064999,46.294998,18.51569,126650570
16-05-2019,46.395,47.130001,45.514999,46.924999,18.76766,112547310
17-05-2019,46.505001,47.150002,46.099998,46.945,18.77566,70884860
20-05-2019,47.799999,49.474998,47.665001,48.380001,19.349586,84575830
21-05-2019,48.485001,48.490002,46.875,47.255001,18.899643,63370580
22-05-2019,47.200001,48.055,46.740002,47.299999,18.917641,83642240
23-05-2019,47.759998,48.650002,46.205002,46.470001,18.585682,93403760
24-05-2019,46.5,48.630001,45.84,48.415001,19.363586,108824810
27-05-2019,48.450001,51.43,48.355,51.255001,20.499441,182077050
28-05-2019,51.41,51.860001,50.52,50.705002,20.27947,99606130
29-05-2019,50.57,51.174999,49.185001,49.330002,19.729542,85236870
30-05-2019,49.299999,49.645,48.599998,48.794998,19.515566,72043630
31-05-2019,49.080002,49.474998,48.105,48.830002,19.529564,102769910
03-06-2019,48.895,50.185001,48.509998,49.764999,19.903517,85053920
